X,Y,OBJECTID,Name,Address,Streetview_Link,WGS84Longitude,WGS84Latitude
-8.495089970315862,53.769662382032642,1,Hell’s Kitchen Railway Museum,Castlerea,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.7696623825255&amp;Lng=-8.49508997103652",-8.4950899,53.76966238
-8.451222544783585,53.881804001533595,2,Dr Douglas Hyde Centre,Frenchpark,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.8818040027059&amp;Lng=-8.4512225447825",-8.4512225,53.881804
-8.223494854379179,53.646060414288883,3,Roscommon Race Course,Roscommon,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.6460604155487&amp;Lng=-8.22349485510317",8.2234948,53.64606041
-8.095536278692309,53.576518290973063,4,Claypipe Museum,Knochcroghery,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.5765182916001&amp;Lng=-8.09553627796106",8.0955362,53.5765182
-8.051689161073787,53.546149975332483,5,Lecarrow Harbour,Lecarrow,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.5461499761807&amp;Lng=-8.05168916110378",8.05168916,53.54614997
-7.987182403886651,53.46708283993798,6,Hodson Bay Marina,Hodson Bay,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.4670828412515&amp;Lng=-7.98718240395731",-7.9871824,53.46708284
-8.287599143445329,54.01329888822719,7,Lough Key Viewing Area,Near Boyle,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=54.0132988894466&amp;Lng=-8.28759914353475",-8.2875991,54.0132988
-8.297011739554009,53.973377714249288,8,Boyle Abbey,Boyle,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.9733777149445&amp;Lng=-8.29701173983424",-8.29701173,53.9733777
-8.301185826655148,53.972992301815196,9,King House,Boyle,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.9729923029896&amp;Lng=-8.30118582627011",-8.3011858,53.9729923
-8.245733980602223,53.970119504625103,10,Lough Key Forest Park -Entrance,Boyle,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.9701195059228&amp;Lng=-8.24573398092769",-8.24573398,53.9701195
-8.138403344624519,54.051187195471819,11,Turlough O’Carolan Heritage Park,Keadue,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=54.0511871964277&amp;Lng=-8.13840334411817",-8.13840334,54.05118719
-8.189655590787623,53.995005753293839,12,Tara Marina,Cootehall,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.9950057539616&amp;Lng=-8.18965559131076",-8.18965559,53.9950057
-8.161188545788246,53.982767582979569,13,John McGahern Plaque,Cootehall,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.982767584255&amp;Lng=-8.1611885453632",-8.16118854,53.9827675
-8.160913143959615,53.981378410793049,14,Cootehall Marina,Cootehall,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.9813784117598&amp;Lng=-8.16091314464598",-8.16091314,53.98137841
-8.119496336445474,54.07851702046392,15,Arigna Mining Experience,Arigna,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=54.0785170210293&amp;Lng=-8.11949633605029",-8.11949633,54.07851702
-8.098565421869409,53.776510125855367,16,Strokestown Park House car park,Strokestown,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.7765101265811&amp;Lng=-8.09856542241492",-8.0985654,53.77651012
-7.9873488736852,53.469380263451932,17,Bay Sports,Hodson Bay,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.4693802642634&amp;Lng=-7.98734887297319",-7.9873488,53.46938026
-8.143233178057397,53.600836611123853,18,Mote Park Forest,Roscommon,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.6008366116161&amp;Lng=-8.14323317731755",-8.14323317,53.6008366
-8.110993461943806,53.776656373651299,19,"Roscommon Heritage and Genealogy Centre,",Strokestown,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.7765101265811&amp;Lng=-8.09856542241492",-8.11099346,53.7766563
-8.25362455598747,53.778906949772448,20,"Cruachan Aí Heritage Centre,",Tulsk,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.7789069504516&amp;Lng=-8.25362455530203",-8.2536245,53.77890695
-8.205491893123394,53.851685241538412,21,Elphin Windmill,Elphin,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.8516852426549&amp;Lng=-8.20549189242993",-8.20549189,53.8516852
-8.274323752550655,53.943235167946561,22,Tullybay Visitor Farm (2km),Boyle,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.9432351690779&amp;Lng=-8.27432375213606",-8.27432375,53.94323516
-8.191364470110397,53.631072846885651,23,Roscommon County Museum,Roscommon,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.6310728480655&amp;Lng=-8.19136446960903",-8.19136446,53.6310728
